queue,priority,software_used,hardware_used,accounting_category,language,subject,text
hardware,2,unknown,NAS-Gehäuse,unknown,en,Issue with NAS enclosure temperature,"Hello Support, my NAS enclosure is overheating often. Could it be the fan malfunctioning? Need assistance."
accounting,2,unknown,unknown,Employee Inquiries::Technical::Hardware Issues,en,Invoice Query: Changing Corporate Billing Details,"Dear Support Team,
I am writing to request a modification in our corporate billing details for future transactions. Please update your records to the following: Tech Innovators Inc., 123 Silicon Valley, Suite 300, San Francisco, CA 90210. Your prompt attention to this matter would be greatly appreciated.
Sincerely, Alex Carter"
hardware,2,unknown,NAS-Gehäuse,unknown,es,Problema con el funcionamiento del NAS-Gehäuse,"Hola, el NAS-Gehäuse que compré no se enciende adecuadamente con los discos duros instalados. ¿Alguna solución?"
accounting,3,unknown,unknown,Employee Inquiries::General,en,Issue with expense report submission,"Dear Accounting Team, I am having trouble submitting my expense report for last month. The system prompts errors. Please resolve this urgently."
software,3,Excel,unknown,unknown,de,Dringendes Excel Problem - Makros funktionieren nicht mehr,Seit dem letzten Windows-Update funktionieren meine Excel-Makros nicht mehr korrekt. Ich benötige dringend Unterstützung!
hardware,2,unknown,Huion Inspiroy H1060P,unknown,es,Problemas con la conexión de Huion Inspiroy H1060P,"Hola equipo de soporte, Estoy teniendo problemas para conectar mi Huion Inspiroy H1060P a mi PC. A veces pierde la conexión y otras veces no es detectado por completo. Ya probé diferentes puertos USB y cables, pero el problema sigue. ¿Podrían ayudarme con una solución? Gracias de antemano."
software,3,Carbon Management,unknown,unknown,es,¡Urgente! Problema con Carbon Management,"Hola, después de la última actualización, nuestro sistema de Carbon Management ha dejado de funcionar. Es esencial para nosotros y necesitamos una solución crítica."
software,1,SketchUp Pro 2021,unknown,unknown,de,Fehler im Dialogfenster bei SketchUp Pro 2021,"Hallo Support-Team,

mir ist bei der Nutzung von SketchUp Pro 2021 etwas aufgefallen. Im Dialogfenster für die Splines gibt es einen kleinen Fehler: oft erscheinen die Werkzeuge nicht korrekt. Es beeinträchtigt die Nutzung nicht stark, aber ein Fix wäre super.

Vielen Dank und Grüße,
Julian Meier"
accounting,2,unknown,unknown,Employee Inquiries::Technical::Software Issues,en,Timesheet entry software malfunctioning,"Hello support team, our employees can't access the portal for entering timesheets. The system displays an error code (53400) when they try to log in. Please assist!"
hardware,3,unknown,Smart-Haustierkamera,unknown,en,Critical: Smart Pet Camera Complete Failure,"Hello Support,
My Smart Pet Camera suddenly stopped working; it won't power on. I've tried multiple power sources. I urgently need assistance.
Best,
Alice James"
hardware,3,unknown,USB-Hub,unknown,en,URGENT: USB-HUB malfunctioning - Need Assistance ASAP,"Dear Support Team,My new USB-Hub, Model Q35-T, constantly disconnects and causes all my peripherals to hang. I've tried different computers and cables. Please help me with a solution as soon as possible as I need it for my work.Best regards,John Carter"
accounting,1,unknown,unknown,Employee Inquiries::IT Support,en,Inquiry about different company name on invoice,Can I have a different company name on my invoice?
accounting,1,unknown,unknown,Customer Inquiries::Cancellations,es,Consulta sobre la cancelación de mi suscripción,"Hola equipo de soporte,
Me gustaría solicitar la cancelación de mi suscripción a su servicio. Ya no necesito utilizarla y preferiría cancelar antes del próximo ciclo de facturación. ¿Podrían indicarme los pasos para concluir este proceso?
Agradezco su pronta respuesta a este asunto.
Saludos cordiales,
Laura Flores"
software,3,Sales Forecasting,unknown,unknown,fr,Problème crucial : Sales Forecasting - plantages répétés,"Bonjour, Nous rencontrons des difficultés majeures avec le logiciel Sales Forecasting. Il se plante systématiquement chaque fois que nous tentons de générer des rapports de vente mensuels. Cela perturbe gravement notre activité car nous dépendons de ces rapports pour la prise de décisions stratégiques. Merci de résoudre ce problème en urgence. Cordialement"
hardware,2,unknown,All-in-One PC,unknown,de,All-in-One PC - Grafikfehler,"Guten Tag liebes Support-Team,

mein neuer All-in-One PC zeigt seit dem letzten Update Grafikfehler an. Das Bild flackert und hat bunte Streifen. Treiber-Updates haben nicht geholfen. Was kann ich noch ausprobieren? Hoffe auf schnelle Rückmeldung.

Mit freundlichen Grüßen, 
Alexander Maier"
software,1,Confluence,unknown,unknown,en,Small UI error in Confluence,"Hi Support Team, I've noticed a small UI bug in Confluence when navigating through the sidebar. Some entries overlap and it's hard to read. There’s no rush, but could you check?"
software,2,FL Studio,unknown,unknown,es,Problema con FL Studio al importar samples,"Buenos días, tengo un problema al intentar importar samples en FL Studio. La aplicación se cuelga constantemente. ¿Podrían ayudarme?"
software,1,Udemy,unknown,unknown,en,Udemy - Issue with Progress Tracking,"Hi Support Team,I've noticed that the progress tracking for my Udemy courses isn't working correctly. Some completed videos are not marked as finished, making it hard to keep track of what's remaining.It's important, but no urgency needed. Could you look into this and help resolve the issue? Thanks in advance,- Michael H."
software,3,Heroku Dashboard,unknown,unknown,es,Heroku Dashboard no responde,"Hola equipo de soporte, desde esta tarde mi Heroku Dashboard ha dejado de responder. Hemos intentado reiniciar la aplicación sin éxito y necesitamos acceder de inmediato para seguir nuestro trabajo."
accounting,2,unknown,unknown,Employee Inquiries::Technical,es,Pregunta sobre bonificación laboral,"Estimado equipo de contabilidad, querría saber si la empresa va a aplicar %nalmente la bonificación adicional prometida para este trimestre en mi próximo salario. Agradecería obtener respuesta. Gracias, Marta Hidalgo"
accounting,1,unknown,unknown,Customer Inquiries::Security Inquiries,en,Inquiry regarding billing security protocols,"Hello Support Team,
I would like to inquire about the security protocols you have in place regarding our billing and account information security. Can you provide details on how my financial data is protected? Ensuring safety and compliance is crucial for us.
Thank you,
Alex Brunner"
hardware,3,unknown,Spectre x360,unknown,en,Spectre x360 - Screen bleibt schwarz nach Update,"Hallo Support, nach dem neuesten Update bleibt der Bildschirm meines Spectre x360 schwarz beim Hochfahren. Ich benötige das Gerät dringend für wichtige Arbeiten. Habe bereits den Akku entfernt und neu gestartet, aber es hilft nichts. Könnent ihr mir bitte schnellstmöglich weiterhelfen? Vielen Dank, Max Bauer"
software,2,VMware,unknown,unknown,de,Problem mit VMware nach Update,Nach dem letzten Update funktioniert meine VMware nicht mehr. Bitte um schnelle Hilfe!
hardware,2,unknown,iPad,unknown,es,Problemas con el iPad,"Hola soporte, mi iPad no toma suficiente carga. ¿Pueden arreglarlo? He intentado todo sin éxito. Gracias."
software,3,Oracle Commerce,unknown,unknown,de,Oracle Commerce - Schwerwiegender Fehler,"Unsere Oracle Commerce Plattform ist abgestürzt, bitte dringend um Unterstützung. Fehlercodes anbei!"
hardware,3,unknown,Smart-Reiskocher,unknown,de,Smart-Reiskocher heizt nicht mehr,"Sehr geehrtes Support-Team, mein Smart-Reiskocher heizt seit gestern nicht mehr. Ich habe ihn an verschiedenen Steckdosen getestet, aber ohne Erfolg. Bitte um schnelle Hilfe!"
accounting,2,unknown,unknown,Customer Inquiries::Complaints,es,Consulta urgente por sobrecargo en la factura,"Hola equipo de contabilidad,

Recientemente noté un sobrecargo inesperado en mi factura mensual y no entiendo el motivo. Intenté contactar a través del número de teléfono al cliente hospedaje, pero no recibí respuesta alguna. Me gustaría que revisaran el detalle de la factura y corregir cualquier error que pudiese haber. Espero su pronta respuesta.

Gracias y saludos,
Carlos Rodriguez"
software,3,AML Compliance,unknown,unknown,es,AML Compliance no verifica transacciones automáticamente,"Estimado equipo de soporte, necesitamos ayuda urgente. AML Compliance ha dejado de verificar las transacciones automáticamente, lo cual es crítico para nuestras operaciones diarias. Hemos reiniciado el sistema pero el problema persiste. ¿Podrían revisar esto a la brevedad posible? Gracias, Hugo Fernández"
hardware,2,unknown,Fractal Design Meshify C,unknown,en,Issues with Fractal Design Meshify C Case,"Hello Customer Support, I have recently encountered an issue with my Fractal Design Meshify C PC case. The front panel USB ports seem to be malfunctioning, as they often lose connection with my peripherals. I've reseated the connectors and tried different cables, but the issue persists. Can you please assist me in troubleshooting this problem or advise on a potential replacement of the front panel? Kind regards, Emily Clark"
software,3,Google Meet,unknown,unknown,en,Critical error with Google Meet - Immediate assistance needed,"Dear Support Team,

I'm facing a critical issue with Google Meet. The application crashes abruptly during important company meetings, causing major disruptions. We've tried reinstalling and updating to the latest version, but the problem persists. We rely heavily on this tool for our daily operations. Please address this at your earliest.

Best regards,
Marc Stein"
accounting,3,unknown,unknown,Customer Inquiries::Contract Questions,de,Dringende Vertragsfrage - Klärung erforderlich,"Sehr geehrte Damen und Herren, bitte erläutern Sie den aktuellen Stand meines Vertrages Nr. 123456. Es gibt Unklarheiten bezüglich der Laufzeit und der Gebührenstruktur. Dies ist äußerst dringend, da nächste Woche eine Frist endet. Vielen Dank und beste Grüße, Martin Keller"
hardware,3,unknown,Robot Vacuum,unknown,en,Robot Vacuum funktioniert nicht nach Update,Der Staubsauger startet nicht mehr nach dem letzten Update.
accounting,2,unknown,unknown,Customer Inquiries,en,Invoice Request for Order 3424BXT - Customer ID 762119,"Dear Support Team, I need an invoice copy for order 3424BXT (Customer ID 762119) as the original was lost. Could you please assist me by emailing a new copy? It's quite important for my records and accounting. Best regards, Kay Robinson"
hardware,2,unknown,VR Treadmill,unknown,en,Issue with VR Treadmill losing calibration,"Hi Support Team, I’m experiencing a calibration issue with my VR Treadmill. After using it for about 25-30 minutes, the tracking seems to go off, which impacts my VR experience. I’ve tried to recalibrate, but the issue persists. Can you help me diagnose and resolve this problem? Thanks in advance! Best regards, Alex Turner"
software,1,AWS CloudFormation,unknown,unknown,de,Fehlermeldung bei Nutzung von AWS CloudFormation,"Hallo, ich bekomme bei der Verwendung von AWS CloudFormation öfter eine unerwartete Fehlermeldung. Könnten Sie das überprüfen? Grüße, Max"
hardware,1,unknown,Ringlicht,unknown,en,Minor issue with Ringlicht brightness,"Hi Support, I've noticed that my Ringlicht is slightly dimmer than before, even on max settings. Could you advise on troubleshooting steps?"
accounting,1,unknown,unknown,Employee Inquiries::Legal Inquiries::Contract Law,es,Cambio de dirección en el contrato,"Hola equipo de contabilidad, quisiera realizar un cambio en mi contrato actual en cuanto a la dirección corporativa. Ahora operamos desde la calle Gran Vía, 52, 28013 Madrid. ¿Podrían generar un nuevo contrato con esta dirección? No hay urgencia pero apreciaría la confirmación. Gracias de antemano."
hardware,2,unknown,Gaming Monitor,unknown,es,Problema con el monitor de juegos,"Hola equipo de soporte, compré un monitor de juegos hace un mes y desde hace unos días la pantalla parpadea intermitentemente. He intentado reiniciar y cambiar los cables, pero el problema persiste. ¿Podrían ayudarme a resolverlo? Gracias, Javier Morales."
software,1,XSplit Broadcaster,unknown,unknown,es,Pequeño bug en XSplit Broadcaster,"Hola soporte de XSplit, Espero que estén bien. He notado un pequeño problema en su software XSplit Broadcaster. Cada vez que intento cambiar el perfil de audio, la aplicación tarda mucho en responder y a veces se congela. ¿Podrían investigar esto, aunque no es urgente? Un saludo, Juan Rodríguez"
software,3,Building Automation,unknown,unknown,de,Kritischer Fehler in Building Automation,"Sehr geehrte Damen und Herren,
unsere Produktionslinie ist durch einen kritischen Fehler in der Software Building Automation komplett stillgelegt. Ein Neustart oder eine Neuinstallation bringen keine Lösung. Wir benötigen dringend Ihre Unterstützung, um den Betrieb wieder aufzunehmen. Vielen Dank im Voraus für Ihre schnelle Hilfe.
Mit freundlichen Grüßen,
Fritz Müller"
hardware,2,unknown,Mac Mini,unknown,en,Mac mini - USB ports intermittently fail,"Dear Support Team, I’ve been experiencing intermittent connectivity issues with the USB ports on my Mac mini (purchased from your store, Order Number #1234-567), which creates disruptions in my workflow. I’ve checked the cables and peripherals, but the issue persists. Can you provide guidance or assistance on this matter? Thanks, John Smith"
software,1,Freehostia,unknown,unknown,es,Small bug in Freehostia - text alignment,"Hola equipo de soporte,

Me he dado cuenta de un pequeño fallo en Freehostia. El texto en las etiquetas de algunos botones no está alineado correctamente en la última versión. No es urgente pero sería genial si pudieran corregirlo en una futura actualización.

Saludos,
Carlos Mendoza"
hardware,2,unknown,VGA Cable,unknown,de,Probleme mit VGA-Kabel - Bildschirm bleibt schwarz,"Sehr geehrtes Support-Team, ich verwende ein VGA-Kabel, das ich bei Ihnen gekauft habe, und habe seit kurzem das Problem, dass mein Bildschirm beim Anschließen schwarz bleibt. Ich habe das Kabel und den Monitor mit anderen Geräten getestet, und da funktioniert alles einwandfrei. Könnte es ein Problem mit der Signalübertragung sein? Viele Grüße, Patrick Sauer"
accounting,2,unknown,unknown,Employee Inquiries::Technical::Hardware Issues,fr,Problème avec le scanner du nouveau photocopieur,"Bonjour, j'ai trouvé un problème avec le scanner de notre nouveau photocopieur au bureau. Merci!"
accounting,2,unknown,unknown,Employee Inquiries::Staff Development,en,Payroll Query,"Dear HR Team, I've noticed discrepancies in my recent payroll statement and would like to schedule a meeting to clarify. Additionally, I'd like information on upcoming development opportunities. Thank you! Best regards, Jane Doe"
software,1,Watchlist Monitoring,unknown,unknown,en,Minor bug report in Watchlist Monitoring Software,"Hello Support Team,
I have encountered a small but persistent issue with the Watchlist Monitoring software. Each time I attempt to save a new watchlist, the software freezes momentarily before proceeding. Please advise any potential fixes.
Thanks,
John Doe"
hardware,2,unknown,Gaming PC,unknown,de,Grafikkarten-Problem bei Gaming PC,"Hallo Support, meine Grafikkarte läuft seit dem letzten Update überhitzt. Was kann ich tun? Grüße, Lena Schmidt"
software,3,Equity Crowdfunding,unknown,unknown,de,Equity Crowdfunding stürzt ab - Dringende Hilfe benötigt,"Sehr geehrte Damen und Herren,
unser Team nutzt die Software Equity Crowdfunding, aber seit heute früh stürzt sie immer wieder ab und wir können keine Projekte bearbeiten. Können Sie uns dringend weiterhelfen?
Vielen Dank!
Stefan Müller"
hardware,2,unknown,Cellular Antenna,unknown,en,Cellular Antenna experiencing intermittent signal loss,"Dear Support Team, I am facing an issue with the Cellular Antenna I received last week. There is constant intermittent signal loss affecting connectivity. Tried power cycles with no improvement. Could you assist?"
software,3,BlueJeans,unknown,unknown,fr,BlueJeans - Erreur critique lors du démarrage,"Bonjour équipe de support, lorsque je tente de démarrer BlueJeans, je rencontre constamment une erreur critique qui m'empêche d'utiliser le programme pour mes réunions professionnelles. Veuillez m'aider rapidement, svp. Merci. Client #48632"
software,3,Insurance Analytics,unknown,unknown,es,Insurance Analytics no se inicia después de actualizar,"Recientemente actualicé Insurance Analytics a la última versión y ahora la aplicación no arranca. Necesito acceder a mis datos cuanto antes, ya que los uso diariamente para mis análisis. Por favor ayúdenme a resolverlo rápidamente."
accounting,1,unknown,unknown,Employee Inquiries::IT Support::Network Issues,fr,Demande concernant la prochaine facture,"Salut l'équipe, Je me demande s'il serait possible d'utiliser le nom de notre nouvelle société pour la prochaine facture: 'TechLinks SARL' au lieu de l'ancien. C'est une petite mise à jour mais importante pour notre comptabilité. Merci d'avance! Bien cordialement, Marc Leblanc"
accounting,1,unknown,unknown,Employee Inquiries::Accounting::Accounting Policies,en,Clarification on Updated Travel Expense Policy,"Hi Team, can you provide more details on the new travel expense policy changes?"
software,1,Data Privacy,unknown,unknown,de,Data Privacy: Ab und zu verschwinden meine EXP Reports,"Hallo, bei der Nutzung der Data Privacy Software verschwinden ab und zu meine EXP Reports plötzlich. Es passiert nicht regelmäßig, nur ab und zu. Warum?"
software,1,Homestead,unknown,unknown,de,Anfrage zur Homestead-Version 2.3,"Hallo Support-Team, ich habe festgestellt, dass bei meiner aktuellen Version 2.3 von Homestead ein kleines Rendering-Problem mit SVG-Grafiken auftritt. Könntet Ihr das bitte überprüfen? Danke!"
accounting,3,unknown,unknown,Employee Inquiries::Technical::Hardware Issues,es,Solicitud urgente cambio dirección de facturación,"Buenos días, requiero con urgencia cambiar la dirección de facturación registrada actualmente. La nueva dirección es Calle Pérez 456, 28013 Madrid. Espero una respuesta rápida, muchas gracias."
accounting,1,unknown,unknown,Employee Inquiries::General::Administrative Inquiries,es,Cambiar el nombre en la factura próxima,"Estimado equipo de contabilidad, Espero se encuentren bien. Podrían cambiar el nombre de mi empresa en la próxima factura a 'Consultora Innovatriz S.L.'? No es urgente, pero agradecería que lo hicieran antes del próximo ciclo de facturación. Atentamente, Marc Gómez"
hardware,2,unknown,Festplatte,unknown,en,External Hard Drive not recognized,"Hi team, I recently purchased an external hard drive (Order #46392) from your store, but it seems my computer is not recognizing the drive. I've tried different USB ports and another computer to no avail. The drive's light is on, indicating power, but it's not showing up in My Computer. I need the data ASAP. Could you please guide me? Thanks, Michael. (Customer #70612)"
software,1,Telemedicine,unknown,unknown,en,Telemedicine - Feature Request,"Hello support team,

I’ve been using your Telemedicine software and it’s working remarkably well. I was wondering if you could add a feature to export patient data in CSV format? It would immensely help with our backend processing of patient records.

Thanks and regards,
Nina"
hardware,3,unknown,OLED-Monitor,unknown,en,Urgent: OLED Monitor verbindet sich nicht korrekt,"Hello, This is Emil Krause. My OLED monitor suddenly stopped connecting to any of my devices via HDMI or DisplayPort. I've tried different cables and reset the settings, but it still doesn't work. This is really impacting my work schedule. Can you please assist me in resolving this issue urgently? Thanks a lot!"
accounting,2,unknown,unknown,Customer Inquiries::Security Inquiries,de,Sicherheitswarnung - Verdächtige Aktivität auf meinem Konto,"Sehr geehrte Damen und Herren, in letzter Zeit habe ich verdächtige Aktivitäten auf meinem Konto bemerkt. Könnten Sie bitte prüfen, ob ein unbefugter Zugriff stattgefunden hat und mein Konto überprüfen? Vielen Dank für Ihre Hilfe!"
software,1,WeChat,unknown,unknown,fr,Mise à jour WeChat demandée,"Bonjour support, je voudrais savoir s'il est possible d'obtenir une mise à jour pour ma version de WeChat. L'application semble un peu lente ces derniers temps et j'étais curieux de savoir s'il existe une nouvelle version qui pourrait résoudre ce problème. Merci!"
hardware,1,unknown,IP PBX,unknown,de,IP PBX Hardware: Kleinere technische Fragen,"Sehr geehrte Damen und Herren, ich benutze Ihre IP PBX Hardware und habe ein paar kleinere Rückfragen zu einigen Funktionen: Gibt es eine Möglichkeit, die sprachliche Ausgabe anzupassen? Und wie kann ich festlegen, dass bestimmte Nummern immer Priorität haben? Vielen Dank für Ihre Hilfe, Mit freundlichen Grüßen, Robert Müller"
accounting,3,unknown,unknown,Employee Inquiries::Technical,es,Solicitud urgente: Problema técnico,"Estimado equipo de soporte, tengo un problema con el acceso a mi cuenta de empleado. No puedo iniciar sesión y necesito acceder urgentemente a los documentos de nómina. El sistema me muestra un error 'Usuario no encontrado'. Podrían ayudarme lo antes posible? Es crítico para cumplir con los plazos. Gracias."
hardware,1,unknown,Converter,unknown,en,Question about Converter hardware settings,"Hello Support Team,

I recently purchased the Converter hardware for my home setup, and I have a small question about adjusting the settings for optimal performance. Can you please guide me through the process or provide any documentation that might help?

Thanks in advance,
Matt Bernsen"
software,3,Pinnacle Studio 24,unknown,unknown,en,Pinnacle Studio 24 crashes during editing,"Hello Support Team,
I'm experiencing critical issues with Pinnacle Studio 24. Every time I try to edit my project, the software crashes, and I lose all my unsaved work. I am working on a tight deadline and urgently need a resolution. Could you please assist me in fixing this problem as soon as possible?
Thank you,
Peter Schmitt"
hardware,1,unknown,Netzwerkadapter,unknown,en,Minor issue with network adapter,"Blinking light issue on network adapter, but everything else works fine."
software,3,Balsamiq Mockups 4,unknown,unknown,fr,Balsamiq Mockups 4 entre en conflit avec macOS,"Bonjour l'équipe support, mon Balsamiq Mockups 4 se ferme automatiquement dès que je l'ouvre sur macOS. J'ai essayé de le réinstaller, mais le problème persiste. Pouvez-vous me aider? Merci, CM894238"
software,2,DEXs,unknown,unknown,fr,Problème avec la dernière mise à jour de DEXs,"Bonjour équipe de support, 
Depuis la dernière mise à jour de votre application DEXs, j'ai remarqué de nombreux bugs. Par exemple, l'application se fige régulièrement lorsque j'essaie de sauvegarder mon travail. De plus, certaines fonctionnalités comme l'intégration de l'API ne fonctionnent plus correctement. Pourriez-vous m'aider à résoudre ces problèmes ? 
Merci d'avance et cordialement, 
Charlotte Dubois"
software,3,Sales Forecasting,unknown,unknown,es,Sales Forecasting no arranca después de la actualización,"Hola soporte, mi Sales Forecasting ya no funciona después del último update. ¡Urge su ayuda!"
hardware,2,unknown,Barcode-Scanner,unknown,en,Barcode scanner malfunction when scanning codes,"Dear Support Team, 

Our latest batch of barcode scanners is having a strange issue. About 50% of the time, when scanning barcodes, the scanner beeps but nothing is registered. We've attempted multiple reboots and firmware updates without success. Could you please provide some further troubleshooting steps or a potential solution?

Thanks,
Mia Roberts"
software,3,Zapier,unknown,unknown,en,Critical Issue: Zapier workflows not running,"Dear Support, I urgently need your help. My Zapier workflows have stopped running suddenly, preventing critical automation from completing. Deadlines are being missed. Please assist as soon as possible, need immediate resolution."
software,3,Policy Administration,unknown,unknown,es,Problema crítico con Policy Administration,"Hola equipo de soporte, nuestra instalación de Policy Administration ha dejado de funcionar repentinamente después de una actualización. Es vital para nuestras operaciones diarias. Necesitamos una solución inmediata para evitar interrupciones. Gracias, Miguel Santana."
hardware,3,unknown,AMD Radeon RX 6800 XT,unknown,en,Urgent: AMD Radeon RX 6800 XT not powering on,"Dear support team, Last night, my AMD Radeon RX 6800 XT suddenly stopped working and won't power on. I'm in the middle of a project and desperately need this resolved. I've checked all connections and tried different slots but no luck. Please assist ASAP.Regards,Jamie Doe"
software,3,Magento,unknown,unknown,fr,"Urgent - Problème critique avec Magento, deux versions vendues sont incorrectes","Bonjour, nous rencontrons un problème critique avec notre instance Magento. Deux versions de nos produits sont incorrectement vendues même après plusieurs mises à jour. Les produits affectés sont basés sur des SKU importants et cela impacte fortement notre inventaire. Pourriez-vous vérifier et résoudre cela dès que possible? Nous avons vraiment besoin d'une résolution rapide."
software,3,Duda,unknown,unknown,de,Duda zeigt Fehler 404 nach dem Login,"Hallo Support-Team,

ich habe ein ernsthaftes Problem mit der Duda Software. Direkt nach dem Login erhalte ich ständig einen Fehler 404, der Zugriff ist damit komplett blockiert. Ich bin dringend auf diesen Zugang angewiesen, vor allem um Kunden-Websites zu aktualisieren. Bitte um schnellstmögliche Hilfe! 

Vielen Dank,
Peter Müller"
accounting,3,unknown,unknown,Employee Inquiries::Accounting::Accounting Policies,en,Urgent: Clarification on New Accounting Policies,"Hello Team, Can someone explain the recent changes in the accounting policies immediately?"
accounting,3,unknown,unknown,Customer Inquiries,de,Dringende Überprüfung meiner letzten Rechnung,"Sehr geehrte Damen und Herren, ich habe eine Diskrepanz in meiner letzten Rechnung festgestellt. Laut meinen Aufzeichnungen entspricht der Betrag nicht dem vereinbarten Preis. Bitte prüfen Sie dies dringend und korrigieren Sie gegebenenfalls den Fehler. Teilen Sie mir schnellstmöglich das Ergebnis Ihrer Überprüfung mit. Vielen Dank!"
software,3,Sitecore Experience Platform,unknown,unknown,de,Dringend: Sitecore Experience Platform verstürzt nach dem Starten,"Hallo Support-Team,
bereits nach dem Starten stürzt unsere Sitecore Experience Platform gleich ab. Dies gefährdet unseren Dienstbetrieb erheblich. Bitte dringend helfen!"
hardware,3,unknown,Function Generator,unknown,fr,Générateur de fonctions défectueux - ne s'allume plus,"Bonjour, J'ai récemment acheté un générateur de fonctions chez vous et il semble maintenant qu'il ne fonctionne plus. Il ne s'allume pas malgré plusieurs tentatives et tests sur plusieurs prises. Cet appareil est essentiel pour mes projets en cours. Pouvez-vous vérifier cela d'urgence, s'il vous plaît ? Merci."
software,3,Learning Management System,unknown,unknown,de,[Wichtig] LMS-System nicht nutzbar nach letztem Update,"Sehr geehrtes Support-Team,
nach dem letzten Update unserer Lernplattform Learning Management System können sich die Nutzer nicht mehr anmelden. Alle Kurse und Daten sind somit nicht zugänglich. Dies beeinträchtigt den laufenden Betrieb erheblich. Benötigen umgehend Unterstützung!
Danke!"
hardware,3,unknown,Sector Antenna,unknown,en,Sector Antenna Not Powering On,"Hello Support Team,
I recently purchased a Sector Antenna from your store. Unfortunately, it seems like it isn't powering on. I've tried different cables and outlets without success, and my project deadlines are approaching, so I urgently need assistance to resolve this issue. Could this be a defect? Please advise on the next steps. My Order Number is 12345678. Thank you in advance!
Sincerely,
John Doe"
accounting,1,unknown,unknown,Customer Inquiries::Feedback,en,Feedback zur letzten Abrechnung,"Sehr geehrtes Accounting-Team, ich möchte Ihnen ein kurzes Feedback zu meiner letzten Rechnung geben. Ich bin mit Ihrer schnellen und präzisen Abwicklung äußerst zufrieden. Weiter so! Viele Grüße, Claire Johnson"
accounting,2,unknown,unknown,Employee Inquiries::Accounting::Year-End Closing,de,Klarstellung zur Jahresendabrechnung,"Sehr geehrtes Team, ich benötige Unterstützung bei meiner letzten Jahresendabrechnung. Vielen Dank!"
software,1,M&A Software,unknown,unknown,es,Pequeño error en M&A Software,"Hola, he notado un pequeño error de visualización en su M&A Software. ¿Podrían revisarlo cuando tengan oportunidad? Gracias."
accounting,2,unknown,unknown,Employee Inquiries::Legal Inquiries::Labor Law,en,Question about labor law lease term notice,"Dear accounting support, can you explain the required notice period if an employment contract is terminated from our end? Regards, John"
accounting,1,unknown,unknown,Employee Inquiries::General::Administrative Inquiries,en,Request for Invoice Adjustment,"Dear Support Team,Could you kindly inform me about the possibility of adjusting our next invoice to reflect the updated project codes? I’d appreciate detailed guidance on this matter. Thank you in advance for your assistance. Best regards, Mark Stevenson"
